Hour,Bus,Voltage_pu,Solar_Multiplier,Load_Multiplier
0,sourcebus,1.0000484628152937,0.0,0.55
0,650,1.000022559646409,0.0,0.55
0,rg60,1.0437156311681608,0.0,0.55
0,633,1.0235955971302872,0.0,0.55
0,634,1.0106442347934965,0.0,0.55
0,671,1.0116180968862394,0.0,0.55
0,645,1.0243236679038454,0.0,0.55
0,646,1.0233723868952438,0.0,0.55
0,692,1.0116180918947364,0.0,0.55
0,675,1.0087958422324712,0.0,0.55
0,611,1.0022689241765765,0.0,0.55
0,652,1.0073414247266934,0.0,0.55
0,670,1.0208617552033044,0.0,0.55
0,632,1.0252233223409437,0.0,0.55
0,680,1.011618109828523,0.0,0.55
0,684,1.01048773580824,0.0,0.55
1,sourcebus,1.0000907148653095,0.0,0.5
1,650,1.0000842727722066,0.0,0.5
1,rg60,1.0250651768987877,0.0,0.5
1,633,1.0187160957010903,0.0,0.5
1,634,1.0122561572651676,0.0,0.5
1,671,1.0162727087602088,0.0,0.5
1,645,1.0246113360160083,0.0,0.5
1,646,1.0241346862934744,0.0,0.5
1,692,1.0162727062815031,0.0,0.5
1,675,1.0155592839938636,0.0,0.5
1,611,1.0250845860591817,0.0,0.5
1,652,1.0140957038644476,0.0,0.5
1,670,1.018549065493971,0.0,0.5
1,632,1.0195296883603224,0.0,0.5
1,680,1.0162727217563918,0.0,0.5
1,684,1.0156790764969383,0.0,0.5
2,sourcebus,1.0001127854697918,0.0,0.45
2,650,1.0001163631153935,0.0,0.45
2,rg60,1.018866239897127,0.0,0.45
2,633,1.0200004427218918,0.0,0.45
2,634,1.0171085588609723,0.0,0.45
2,671,1.0228351927562087,0.0,0.45
2,645,1.0218720001481645,0.0,0.45
2,646,1.0216580337519567,0.0,0.45
2,692,1.0228351916454959,0.0,0.45
2,675,1.0232776248866187,0.0,0.45
2,611,1.0313389018416204,0.0,0.45
2,652,1.0218233271700479,0.0,0.45
2,670,1.0212404344090311,0.0,0.45
2,632,1.0203637061315456,0.0,0.45
2,680,1.022835205853593,0.0,0.45
2,684,1.0225409638874823,0.0,0.45
3,sourcebus,1.000122309833953,0.0,0.45
3,650,1.000130174743113,0.0,0.45
3,rg60,1.0126376916328428,0.0,0.45
3,633,1.0170246581908464,0.0,0.45
3,634,1.0157219216290834,0.0,0.45
3,671,1.0221715636913689,0.0,0.45
