Hour,Bus,Voltage_pu,PV_Output_kW
0,sourcebus,0.9999735655883522,0.0
0,650,0.9999107900848003,0.0
0,rg60,1.056033143819324,0.0
0,633,1.0113009764965395,0.0
0,634,0.9871595707364196,0.0
0,671,0.9827968680110032,0.0
0,645,1.0197286174291875,0.0
0,646,1.0180126704388597,0.0
0,692,0.9827968586444553,0.0
0,675,0.9762726889015545,0.0
0,611,0.9608427430890604,0.0
0,652,0.9753338819618049,0.0
0,670,1.0040249149992404,0.0
0,632,1.014343366175742,0.0
0,680,0.9827968805493558,0.0
0,684,0.980873472633633,0.0
1,sourcebus,0.9999735656635805,0.0
1,650,0.999910790386469,0.0
1,rg60,1.0560331442181452,0.0
1,633,1.0113009419612906,0.0
1,634,0.9871595414197413,0.0
1,671,0.9827968139299096,0.0
1,645,1.0197285920694914,0.0
1,646,1.018012645242478,0.0
1,692,0.9827968045633628,0.0
1,675,0.9762726375751359,0.0
1,611,0.9608430966208247,0.0
1,652,0.9753338267151852,0.0
1,670,1.0040248737256456,0.0
1,632,1.0143433341192323,0.0
1,680,0.9827968264682604,0.0
1,684,0.9808734170732298,0.0
2,sourcebus,0.9999735656633539,0.0
2,650,0.9999107903915092,0.0
2,rg60,1.0560331442232296,0.0
2,633,1.0113009396151673,0.0
2,634,0.9871595385904243,0.0
2,671,0.9827968102640432,0.0
2,645,1.0197285924897168,0.0
2,646,1.018012645666635,0.0
2,692,0.9827968008974962,0.0
2,675,0.9762726337268193,0.0
2,611,0.9608431057617521,0.0
2,652,0.9753338230366279,0.0
2,670,1.0040248709915165,0.0
2,632,1.0143433319471777,0.0
2,680,0.9827968228023937,0.0
2,684,0.9808734133737791,0.0
3,sourcebus,0.9999735656633011,0.0
3,650,0.9999107903915722,0.0
3,rg60,1.0560331442232385,0.0
3,633,1.0113009395241637,0.0
3,634,0.9871595384731132,0.0
3,671,0.9827968101220987,0.0
3,645,1.019728592527914,0.0
3,646,1.0180126457049186,0.0
3,692,0.9827968007555518,0.0
3,675,0.9762726335745231,0.0
3,611,0.9608431059886428,0.0
3,652,0.9753338228947589,0.0
3,670,1.0040248708861585,0.0
3,632,1.0143433318630175,0.0
3,680,0.9827968226604495,0.0
3,684,0.9808734132311044,0.0
4,sourcebus,0.9999735656632985,0.0
4,650,0.999910790391572,0.0
4,rg60,1.0560331442232358,0.0
4,633,1.0113009395212307,0.0
4,634,0.9871595384692167,0.0
4,671,0.9827968101175293,0.0
4,645,1.0197285925295045,0.0
4,646,1.0180126457065104,0.0
4,692,0.9827968007509822,0.0
4,675,0.9762726335695706,0.0
4,611,0.960843105994062,0.0
4,652,0.9753338228902003,0.0
4,670,1.0040248708827741,0.0
4,632,1.0143433318603072,0.0
4,680,0.9827968226558801,0.0
4,684,0.98087341322652,0.0
5,sourcebus,0.9999735656632985,25.0
5,650,0.9999107903915722,25.0
5,rg60,1.0560331442232358,25.0
5,633,1.0113009395211447,25.0
5,634,0.9871595384691005,25.0
5,671,0.9827968101173967,25.0
5,645,1.0197285925295576,25.0
5,646,1.018012645706563,25.0
5,692,0.9827968007508497,25.0
5,675,0.9762726335694257,25.0
5,611,0.9608431059941868,25.0
5,652,0.9753338228900682,25.0
5,670,1.004024870882676,25.0
5,632,1.0143433318602282,25.0
5,680,0.982796822655747,25.0
5,684,0.9808734132263871,25.0
6,sourcebus,0.9999735656632985,75.0
6,650,0.9999107903915722,75.0
6,rg60,1.0560331442232358,75.0
6,633,1.0113009395211432,75.0
6,634,0.9871595384690977,75.0
6,671,0.9827968101173933,75.0
6,645,1.0197285925295594,75.0
6,646,1.018012645706565,75.0
6,692,0.9827968007508463,75.0
6,675,0.9762726335694221,75.0
6,611,0.9608431059941898,75.0
6,652,0.975333822890065,75.0
6,670,1.0040248708826738,75.0
6,632,1.0143433318602264,75.0
6,680,0.9827968226557439,75.0
6,684,0.9808734132263839,75.0
7,sourcebus,0.9999766571988615,150.0
7,650,0.999915064535082,150.0
7,rg60,1.056041664814608,150.0
7,633,1.0124901041576482,150.0
7,634,0.9883773052117723,150.0
7,671,0.9849738193314873,150.0
7,645,1.019987570638862,150.0
7,646,1.01827087013366,150.0
7,692,0.984973809983409,150.0
7,675,0.9784719359008026,150.0
7,611,0.9629605277005235,150.0
7,652,0.9774923721717156,150.0
7,670,1.005561856916865,150.0
7,632,1.015528784049666,150.0
7,680,0.984973831901253,150.0
7,684,0.9830442223912257,150.0
8,sourcebus,0.9999786854768592,250.0
8,650,0.9999178713257099,250.0
8,rg60,1.0560472844809252,250.0
8,633,1.013277208620122,250.0
8,634,0.9891846618133819,250.0
8,671,0.9864180291080392,250.0
8,645,1.0201543887234263,250.0
8,646,1.0184371954439915,250.0
8,692,0.9864180197727912,250.0
8,675,0.9799315011090097,250.0
8,611,0.9643606706693004,250.0
8,652,0.9789242864319694,250.0
8,670,1.0065796683423271,250.0
8,632,1.016313294681553,250.0
8,680,0.9864180416986792,250.0
8,684,0.9844842694755571,250.0
9,sourcebus,0.9999806791138649,350.0
9,650,0.9999206267946142,350.0
9,rg60,1.0560528287906978,350.0
9,633,1.0140572649912425,350.0
9,634,0.9899843092480586,350.0
9,671,0.9878524210266529,350.0
9,645,1.0203192077917298,350.0
9,646,1.018601524744993,350.0
9,692,0.9878524117038875,350.0
9,675,0.9813808905695736,350.0
9,611,0.9657394898951189,350.0
9,652,0.9803464811605103,350.0
9,670,1.007589106995906,350.0
9,632,1.0170908312975715,350.0
9,680,0.9878524336380651,350.0
9,684,0.9859145418242826,350.0
10,sourcebus,0.9999821544014381,425.0
10,650,0.999922665405075,425.0
10,rg60,1.0560569464294032,425.0
10,633,1.0146386708456,425.0
10,634,0.9905805073524888,425.0
10,671,0.9889233994822241,425.0
10,645,1.0204406357614089,425.0
10,646,1.0187225886017646,425.0
10,692,0.9889233901688466,425.0
10,675,0.9824631318962798,425.0
10,611,0.9667633501728083,425.0
10,652,0.9814083459005158,425.0
10,670,1.008341849751319,425.0
10,632,1.0176703376159266,425.0
10,680,0.988923412109169,425.0
10,684,0.9869824376231054,425.0
11,sourcebus,0.9999831139993937,475.0
11,650,0.9999239853602567,475.0
11,rg60,1.0560596309184869,475.0
11,633,1.0150187274517772,475.0
11,634,0.9909677817912412,475.0
11,671,0.9896252746088744,475.0
11,645,1.020523494175477,475.0
11,646,1.0188052037281052,475.0
11,692,0.9896252653003098,475.0
11,675,0.9831711421720067,475.0
11,611,0.9674264451753393,475.0
11,652,0.9821043153215688,475.0
11,670,1.0088347144800063,475.0
11,632,1.0180494584063127,475.0
11,680,0.9896252872460081,475.0
11,684,0.987682359932276,475.0
12,sourcebus,0.9999836054342218,500.0
12,650,0.999924667206229,500.0
12,rg60,1.0560610087648796,500.0
12,633,1.0152141051006438,500.0
12,634,0.991169470749574,500.0
12,671,0.9899854228589087,500.0
12,645,1.0205616685807777,500.0
12,646,1.0188432589541792,500.0
12,692,0.9899854135542143,500.0
12,675,0.9835357410752021,500.0
12,611,0.967771076448093,500.0
12,652,0.9824613617529507,500.0
12,670,1.0090874915857548,500.0
12,632,1.0182440305902438,500.0
12,680,0.9899854355012769,500.0
12,684,0.9880414342754504,500.0
13,sourcebus,0.9999831382580265,475.0
13,650,0.99992402915306,475.0
13,rg60,1.0560597009103527,475.0
13,633,1.0150285567538775,475.0
13,634,0.9909822132666836,475.0
13,671,0.9896418590104737,475.0
13,645,1.020518271483556,475.0
13,646,1.018799984871633,475.0
13,692,0.989641849704371,475.0
13,675,0.983190060404672,475.0
13,611,0.9674514307458398,475.0
13,652,0.9821206380228575,475.0
13,670,1.008846368882249,475.0
13,632,1.0180587191327426,475.0
13,680,0.9896418716478527,475.0
13,684,0.9876987753413909,475.0
14,sourcebus,0.9999821742634826,425.0
14,650,0.9999227018882844,425.0
14,rg60,1.0560570045690534,425.0
14,633,1.0146465387191188,425.0
14,634,0.9905921678070614,425.0
14,671,0.9889366379475402,425.0
14,645,1.0204359936405951,425.0
14,646,1.018717950625066,425.0
14,692,0.9889366286361531,425.0
14,675,0.9824782663719349,425.0
14,611,0.9667847796775204,425.0
14,652,0.9814213696838863,425.0
14,670,1.0083511590655132,425.0
14,632,1.017677745672396,425.0
14,680,0.9889366505746777,425.0
14,684,0.9869955353774822,425.0
15,sourcebus,0.9999806868123898,350.0
15,650,0.9999206421173623,350.0
15,rg60,1.056052852864886,350.0
15,633,1.014060093532886,350.0
15,634,0.9899887147443946,350.0
15,671,0.9878571481326224,350.0
15,645,1.0203167991364268,350.0
15,646,1.0185991191822659,350.0
15,692,0.9878571388106125,350.0
15,675,0.9813863529368061,350.0
15,611,0.9657495095249233,350.0
15,652,0.9803511206412349,350.0
15,670,1.0075924248056543,350.0
15,632,1.0170934851936178,350.0
15,680,0.9878571607440991,350.0
15,684,0.9859192076558034,350.0
16,sourcebus,0.999978694769133,250.0
16,650,0.9999178900508274,250.0
16,rg60,1.0560473137543025,250.0
16,633,1.0132803802972685,250.0
16,634,0.9891896618642411,250.0
16,671,0.9864232870647183,250.0
16,645,1.0201514655185269,250.0
16,646,1.0184342765442114,250.0
16,692,0.9864232777303436,250.0
16,675,0.979937613370586,250.0
16,611,0.9643732661940094,250.0
16,652,0.9789294419022665,250.0
16,670,1.0065833717666486,250.0
16,632,1.0163162681388838,250.0
16,680,0.986423299655426,250.0
16,684,0.9844894542273093,250.0
17,sourcebus,0.9999766695381046,150.0
17,650,0.9999150897370782,150.0
17,rg60,1.0560417040082175,150.0
17,633,1.0124939985529646,150.0
17,634,0.9883835348941044,150.0
17,671,0.984980210070707,150.0
17,645,1.0199836694766995,150.0
17,646,1.0182669754501676,150.0
17,692,0.984980200723739,150.0
17,675,0.978479420068512,150.0
17,611,0.962977930384502,150.0
17,652,0.9774986311762558,150.0
17,670,1.005566378147452,150.0
17,632,1.015532430719716,150.0
17,680,0.9849802226405492,150.0
17,684,0.9830505169449494,150.0
18,sourcebus,0.9999735736364848,50.0
18,650,0.9999108070433695,50.0
18,rg60,1.0560331699112846,50.0
18,633,1.0113031550018314,50.0
18,634,0.9871631833235998,50.0
18,671,0.9828003712985882,50.0
18,645,1.0197260404865458,50.0
18,646,1.0180100986115326,50.0
18,692,0.9828003619327157,50.0
18,675,0.9762768656378888,50.0
18,611,0.9608550246526877,50.0
18,652,0.9753373031471549,50.0
18,670,1.0040274129661195,50.0
18,632,1.0143454006280048,50.0
18,680,0.9828003838369757,50.0
18,684,0.9808769132502427,50.0
19,sourcebus,0.9999735657735446,0.0
19,650,0.9999107907243352,0.0
19,rg60,1.0560331446922722,0.0
19,633,1.011300933940226,0.0
19,634,0.9871595488042735,0.0
19,671,0.9827968014459988,0.0
19,645,1.0197285487349468,0.0
19,646,1.0180126020704114,0.0
19,692,0.9827967920794578,0.0
19,675,0.976272632193842,0.0
19,611,0.9608434364405776,0.0
19,652,0.9753338128066851,0.0
19,670,1.004024863038917,0.0
19,632,1.0143433266256114,0.0
19,680,0.9827968139843483,0.0
19,684,0.9808734030857332,0.0
20,sourcebus,0.9999735656639538,0.0
20,650,0.9999107903975217,0.0
20,rg60,1.0560331442302522,0.0
20,633,1.0113009378864444,0.0
20,634,0.9871595366360246,0.0
20,671,0.9827968075591729,0.0
20,645,1.0197285924168562,0.0
